orderID,order_date,order_status,order_city,order_state,order_country,order_zip,shipping_date,shipping_mode,delivery_status,late_delivery_risk,shipping_days_real,shipping_days_scheduled,benefit_per_order,sales_per_customer,order_profit_per_order,customerID
31297,2016-04-01 20:22:00,PENDING,Henderson,Kentucky,Estados Unidos,42420.0,2016-04-04 20:22:00,Standard Class,Advance shipping,0,3,4,159.68000031999998,525.70999145,159.68000031999998,2110
31298,2016-04-01 20:43:00,PROCESSING,Henderson,Kentucky,Estados Unidos,42420.0,2016-04-05 20:43:00,Second Class,Late delivery,1,4,2,4.25,169.9900055,4.25,7597
31299,2016-04-01 21:05:00,PROCESSING,Los Angeles,California,Estados Unidos,90036.0,2016-04-06 21:05:00,Standard Class,Late delivery,1,5,4,223.53000255,714.2500076,223.53000255,6109
31300,2016-04-01 21:26:00,CLOSED,Fort Lauderdale,Florida,Estados Unidos,33311.0,2016-04-07 21:26:00,Standard Class,Late delivery,1,6,4,37.810000417000005,868.95000838,37.810000417000005,801
31301,2016-04-01 21:47:00,CLOSED,Fort Lauderdale,Florida,Estados Unidos,33311.0,2016-04-03 21:47:00,Standard Class,Advance shipping,0,2,4,261.100002268,689.90998844,261.100002268,9350
31302,2016-04-01 22:08:00,PENDING,Los Angeles,California,Estados Unidos,90032.0,2016-04-04 22:08:00,Standard Class,Advance shipping,0,3,4,72.70000076,234.5899963,72.70000076,1657
31303,2016-04-01 22:29:00,COMPLETE,Los Angeles,California,Estados Unidos,90032.0,2016-04-05 22:29:00,Standard Class,Shipping on time,0,4,4,189.400002009,1045.1800079,189.400002009,4610
31305,2016-04-01 23:11:00,PENDING,Los Angeles,California,Estados Unidos,90032.0,2016-04-03 23:11:00,First Class,Late delivery,1,2,1,53.64999962,132.47000122,53.64999962,239
31306,2016-04-01 23:32:00,PENDING_PAYMENT,Los Angeles,California,Estados Unidos,90032.0,2016-04-03 23:32:00,Standard Class,Advance shipping,0,2,4,320.00999633600003,1249.3900146,320.00999633600003,9190
31308,2016-04-02 00:14:00,PROCESSING,Los Angeles,California,Estados Unidos,90032.0,2016-04-06 00:14:00,Standard Class,Shipping on time,0,4,4,20.38999939,42.47999954,20.38999939,11367
31309,2016-04-02 00:35:00,COMPLETE,Concord,Carolina del Norte,Estados Unidos,28027.0,2016-04-07 00:35:00,Second Class,Late delivery,1,5,2,26.09000015,89.95999908,26.09000015,11303
31310,2016-04-02 00:56:00,CLOSED,Seattle,Washington,Estados Unidos,98103.0,2016-04-08 00:56:00,Second Class,Late delivery,1,6,2,79.48000336,235.1600037,79.48000336,2236
31311,2016-04-02 01:17:00,PENDING,Fort Worth,Texas,Estados Unidos,76106.0,2016-04-04 01:17:00,First Class,Late delivery,1,2,1,210.47000122,687.3000107,210.47000122,10315
